Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Logan Woodside,11.0,28,QB,1,0,201,6-2,Toledo,1/27/1995,3,0.0,Cincinnati Bengals / 7th / 249th pick / 2018,WoodLo00
Desmond Ridder,9.0,24,QB,15,13,207,6-3,Cincinnati,8/31/1999,1,9.0,Atlanta Falcons / 3rd / 74th pick / 2022,RiddDe00
Taylor Heinicke,4.0,30,QB,5,4,210,6-1,Old Dominion,3/15/1993,6,3.0,,HeinTa00
Avery Williams (IR),26.0,25,RB,0,0,195,5-9,Boise St.,7/15/1998,2,,Atlanta Falcons / 5th / 183rd pick / 2021,WillAv02
Carlos Washington (NWT),28.0,25,RB,0,0,220,5-11,Southeastern Louisiana,12/26/1998,Rook,,,WashCa00
Robert Burns (NWT),,25,RB,0,0,222,5-11,UConn,9/25/1998,Rook,,,BurnRo01
Bijan Robinson,7.0,21,RB,17,16,215,5-11,Texas,1/30/2002,Rook,9.0,Atlanta Falcons / 1st / 8th pick / 2023,RobiBi01
Cordarrelle Patterson,84.0,32,RB,14,0,220,6-2,Tennessee,3/17/1991,10,1.0,Minnesota Vikings / 1st / 29th pick / 2013,PattCo00
Tyler Allgeier,25.0,23,RB,17,3,220,5-11,BYU,4/15/2000,1,5.0,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
Keith Smith (IR),40.0,31,FB,13,6,240,6-0,San Jose St.,4/8/1992,9,0.0,,SmitKe03
Josh Ali (IR),80.0,24,WR,0,0,193,6-0,Kentucky,3/3/1999,1,,,AlixJo00
Austin Mack (NWT),,26,WR,0,0,215,6-2,Ohio St.,8/31/1997,3,,,MackAu01
Chris Blair (NWT),83.0,26,WR,1,0,198,6-2,Hinds CCAlcorn St.,10/6/1997,Rook,0.0,,BlaiCh00
Scott Miller,16.0,26,WR,17,0,174,5-9,Bowling Green,7/31/1997,4,1.0,Tampa Bay Buccaneers / 6th / 208th pick / 2019,MillSc01
Drake London,5.0,22,WR,16,16,213,6-4,USC,7/24/2001,1,7.0,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
Van Jefferson,15.0,27,WR,12,5,200,6-1,MississippiFlorida,7/26/1996,3,1.0,Los Angeles Rams / 2nd / 57th pick / 2020,JeffVa00
Mack Hollins,18.0,30,WR,13,3,221,6-4,North Carolina,9/16/1993,6,2.0,Philadelphia Eagles / 4th / 118th pick / 2017,HollMa00
KhaDarel Hodge,12.0,28,WR,17,4,183,5-11,Alcorn St.Hinds CCPrairie View A&M,1/3/1995,5,2.0,,HodgKh00
Feleipe Franks (IR),15.0,26,TE,0,0,234,6-6,FloridaArkansas,12/22/1997,2,,,FranFe00
Jonnu Smith,81.0,28,TE,17,6,248,6-3,Florida International,8/22/1995,6,5.0,Tennessee Titans / 3rd / 100th pick / 2017,SmitJo01
MyCole Pruitt,85.0,31,TE,17,8,245,6-2,Southern Illinois,3/24/1992,8,1.0,Minnesota Vikings / 5th / 143rd pick / 2015,PruiMy00
Kyle Pitts,8.0,23,TE,17,15,246,6-6,Florida,10/6/2000,2,5.0,Atlanta Falcons / 1st / 4th pick / 2021,PittKy00
John FitzPatrick,87.0,23,TE,9,0,250,6-7,Georgia,3/9/2000,Rook,0.0,Atlanta Falcons / 6th / 213th pick / 2022,FitzJo00
Tucker Fisk,43.0,24,TE,6,2,285,6-4,Stanford,1/19/1999,Rook,0.0,,FiskTu00
Matt Hennessy (IR),61.0,26,OL,0,0,307,6-3,Temple,11/17/1997,3,,Atlanta Falcons / 3rd / 78th pick / 2020,HennMa00
Ethan Greenidge (IR),71.0,26,OL,0,0,335,6-4,Villanova,9/10/1997,3,,,GreeEt00
Barry Wesley (NWT),69.0,24,OL,0,0,310,6-7,Colorado State,7/14/1999,Rook,,,WeslBa00
Tyler Vrabel (NWT),73.0,23,OL,2,0,315,6-6,Boston Col.,6/24/2000,Rook,0.0,,VrabTy00
Justin Shaffer (NWT),54.0,25,OL,0,0,330,6-4,Georgia,6/20/1998,Rook,,Atlanta Falcons / 6th / 190th pick / 2022,ShafJu00
John Leglue (NWT),66.0,27,OL,1,0,310,6-7,Tulane,4/17/1996,2,0.0,,LeglJo00
Storm Norton,77.0,29,OL,14,3,317,6-7,Toledo,5/16/1994,5,2.0,,NortSt00
Ryan Neuzil,64.0,26,OL,17,4,301,6-3,Appalachian St.,7/31/1997,1,2.0,,NeuzRy00
Kyle Hinton,68.0,25,OL,16,1,295,6-2,Washburn,2/27/1998,1,1.0,Minnesota Vikings / 7th / 253rd pick / 2020,HintKy00
Jovaughn Gwyn,56.0,24,OL,1,0,301,6-2,South Carolina,3/18/1999,Rook,0.0,Atlanta Falcons / 7th / 225th pick / 2023,GwynJo00
Drew Dalman,67.0,25,OL,14,14,300,6-3,Stanford,10/15/1998,2,5.0,Atlanta Falcons / 4th / 114th pick / 2021,DalmDr00
Matthew Bergeron,65.0,23,OL,17,17,323,,Syracuse,2/26/2000,Rook,6.0,Atlanta Falcons / 2nd / 38th pick / 2023,BergMa00
Ryan Swoboda (NWT),50.0,25,T,0,0,315,6-9,UCF,9/19/1998,Rook,,,SwobRy00
Kaleb McGary,76.0,28,T,14,14,306,6-6,Washington,2/22/1995,4,6.0,Atlanta Falcons / 1st / 31st pick / 2019,McGaKa00
Jake Matthews,70.0,31,T,17,17,309,6-5,Texas A&M,2/11/1992,9,7.0,Atlanta Falcons / 1st / 6th pick / 2014,MattJa00
Chris Lindstrom,63.0,26,G,16,16,307,6-3,Boston Col.,2/28/1997,4,9.0,Atlanta Falcons / 1st / 14th pick / 2019,LindCh00
